기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202111,20211107,2,19,CD000337,9000,1,0,10000000,03,0,,,2,2,10,C,2305,2,1,0,0,30,30,00,02,A,65.0,1,24.0,ST000117,1433000.0
202112,20211208,5,12,CD001006,9000,1,0,10000000,16,0,,,5,1,00,C,2302,2,1,0,0,32,30,00,03,A,60.0,1,24.0,ST000414,1671000.0
202112,20211214,107,18,CD000655,8000,1,0,1000000,09,0,,,5,2,00,C,5507,2,_,0,0,32,30,00,02,A,267973.0,1,24.0,ST000223,2738258000.0
202112,20211217,10,17,CD001428,19000,1,0,0,11,0,,,4,2,00,C,5102,2,2,0,0,32,30,00,04,A,48.0,1,24.0,ST000012,1597000.0
202112,20211226,18,18,CD000589,9000,1,0,5000000,09,0,,,3,1,00,C,8102,2,_,0,0,32,30,00,03,A,1371.0,1,24.0,ST002455,11655000.0
202110,20211013,21,17,CD000940,49000,1,0,1000000,,0,,,3,2,00,C,6303,3,,,,31,30,00,02,A,116427.0,1,24.0,ST000288,1422000.0
202111,20211126,64,15,CD000811,9000,1,0,0,11,0,,,3,1,00,C,8111,2,1,0,0,32,30,00,03,A,8277.0,1,24.0,ST001900,1971000.0
202111,20211107,26,13,CD000472,18000,1,0,10000000,09,0,,,4,2,00,C,5507,2,_,0,0,32,30,00,03,A,289977.0,1,24.0,ST000223,3641553000.0
202110,20211006,7,12,CD000061,9000,2,0,0,12,0,,,9,_,00,Q,6601,2,2,0,0,32,30,_,03,A,31.0,4,0.0,ST001330,567000.0
202110,20211029,11,09,CD001389,19000,1,0,10000000,09,0,,,5,2,00,C,5507,3,_,0,0,31,30,00,02,A,1562761.0,1,24.0,ST000034,1822000.0
202111,20211102,2,18,CD000049,9000,1,0,10000000,09,0,,,3,2,00,C,5507,3,_,0,0,31,30,00,02,A,51976.0,1,24.0,ST000034,4040433000.0
202112,20211229,137,20,CD000708,50000,1,0,10000000,09,0,,,4,1,00,Q,5501,2,2,0,0,34,2,_,03,A,34530.0,1,0.0,ST000028,332762000.0
202110,20211013,16,17,CD000718,100000,1,0,5000000,09,0,,,4,2,10,C,5503,2,2,0,0,31,30,05,02,A,7912.0,1,30.0,ST000006,339100000.0
202111,20211107,3,20,CD000207,9000,1,0,10000000,09,0,,,5,1,00,C,5101,1,_,0,0,32,30,00,01,A,382.0,1,24.0,ST005199,2159000.0
202110,20211025,41,21,CD000686,9000,1,0,1000000,01,0,,,3,1,00,C,6601,2,1,0,0,33,30,00,02,A,19.0,1,24.0,ST000191,856000.0
202112,20211221,41,20,CD000340,8000,1,0,1000000,09,0,,,3,1,10,C,5201,2,_,0,0,32,30,00,01,A,395.0,1,24.0,ST000008,2055000.0
202110,20211024,116,12,CD000321,9000,1,0,1000000,07,0,,,4,1,00,C,6303,3,2,0,0,32,30,00,03,A,63.0,1,24.0,ST001182,2157000.0
202110,20211002,12,12,CD000720,52000,2,0,0,16,0,,,9,_,00,C,2307,2,1,0,0,32,30,00,04,A,57.0,4,24.0,ST000940,1681000.0
202111,20211127,35,19,CD000309,4000,1,0,10000000,10,0,,,3,1,00,C,5202,1,1,0,0,31,30,00,03,A,387.0,1,24.0,ST000063,1802000.0
202111,20211103,10,13,CD001821,49000,1,0,1000000,12,0,,,4,2,00,C,5202,2,1,0,0,33,30,00,03,A,42.0,1,24.0,ST000032,1069000.0
202110,20211012,7,13,CD001342,52000,2,0,0,15,0,,,9,_,00,C,4208,1,1,0,0,34,30,00,03,A,50.0,4,24.0,ST003368,1213000.0
202112,20211229,38,16,CD001446,19000,1,0,10000000,10,0,,,4,2,00,C,4402,2,1,0,0,32,30,00,02,A,45.0,1,24.0,ST000232,1027000.0
202112,20211227,71,21,CD000038,2000,1,0,10000000,09,0,,,4,2,00,C,5507,3,_,0,0,32,30,00,02,A,261744.0,1,24.0,ST000034,2837226000.0
202112,20211214,2,13,CD001706,8000,1,0,10000000,13,0,,,6,1,00,C,6601,2,1,0,0,32,30,00,02,A,53.0,1,24.0,ST000799,1697000.0
202110,20211021,30,15,CD000053,19000,1,0,5000000,02,0,,,4,2,00,C,4402,2,1,0,0,39,30,00,03,A,60.0,1,24.0,ST000252,1997000.0
202110,20211009,10,13,CD001755,54000,1,0,1000000,,0,,,2,1,00,C,6303,3,,,,31,30,00,02,A,445108.0,1,24.0,ST000288,4621041000.0
202112,20211204,9,09,CD000863,9000,1,0,10000000,14,0,,,4,2,00,C,5201,1,1,0,0,32,30,00,02,A,6688.0,1,24.0,ST002030,1920000.0
202112,20211202,6,12,CD000403,4000,1,0,10000000,02,0,,,2,1,10,C,5202,1,_,0,0,32,30,00,02,A,362.0,1,24.0,ST000029,1550000.0
202111,20211124,27,14,CD000421,8000,1,0,5000000,09,0,,,2,1,00,C,2501,2,_,0,0,31,30,00,02,A,1411.0,1,24.0,ST000477,11515000.0
202110,20211005,2,19,CD001049,4000,1,0,1000000,09,0,,,3,1,00,C,2105,1,1,0,0,32,30,00,03,A,318.0,1,24.0,ST000624,1188000.0
202112,20211218,26,21,CD000536,8000,1,0,1000000,09,0,,,7,1,00,C,5201,2,_,0,0,32,30,00,03,A,3837.0,1,24.0,ST000008,8956000.0
202110,20211009,2,17,CD000727,1374000,1,0,1000000,09,1,03,"최근 거래 패턴에 비해 결제 금액이 급격히 증가하였고, 신규 가맹점에서 이루어진 거래로, 카드 위변조 이상거래 의심
최근 사용한 금액이 100만원 이상 증가한 고객이 신규 가맹점에서 국내 일시불로 결제",4,1,00,C,5507,2,_,0,0,32,30,05,02,A,1451423.0,1,24.0,ST000223,1992990000.0
202111,20211130,57,15,CD000524,250000,1,0,10000000,12,0,,,4,1,00,C,2310,2,1,0,0,38,30,00,01,A,60.0,1,24.0,ST002121,1487000.0
202111,20211117,68,19,CD000733,9000,1,0,0,01,0,,,2,2,00,C,3302,2,1,0,0,32,30,00,03,A,367.0,1,24.0,ST004515,1999000.0
202112,20211201,3,17,CD000627,18000,1,0,5000000,11,0,,,2,1,00,C,6602,2,2,0,0,32,30,00,05,A,59.0,1,24.0,ST002304,1618000.0
202110,20211026,15,12,CD000016,4000,2,0,0,06,0,,,9,_,00,C,5202,1,1,0,0,32,30,00,03,A,49.0,4,24.0,ST000215,1437000.0
202112,20211214,3,14,CD000704,30000,1,0,5000000,06,0,,,5,1,00,C,2201,3,1,0,0,32,30,05,02,A,48962.0,1,24.0,ST012453,3231730000.0
202111,20211106,3,14,CD001011,9000,1,0,1000000,13,0,,,5,1,00,C,5206,1,1,0,0,33,30,00,02,A,337.0,1,24.0,ST000103,1710000.0
202112,20211212,21,12,CD000554,8000,1,0,10000000,09,0,,,4,2,00,C,5101,1,_,0,0,32,30,00,02,A,7487.0,1,24.0,ST005199,443797000.0
202112,20211203,9,21,CD000629,2000,1,0,5000000,09,0,,,4,2,00,C,5502,3,2,0,0,32,30,05,01,A,30350.0,1,30.0,ST000350,2913951000.0
202112,20211212,4,18,CD000967,54000,2,0,0,02,0,,,9,_,00,C,6601,2,1,0,0,32,30,00,03,A,1356.0,4,24.0,ST000051,56456000.0
202112,20211204,4,17,CD000571,4000,1,0,5000000,09,0,,,3,1,00,C,9207,2,2,0,0,32,30,00,02,A,7554.0,1,24.0,ST000467,2023000.0
202111,20211130,55,13,CD000112,9000,2,0,0,16,0,,,9,_,00,C,5206,1,1,0,0,32,30,00,03,A,54.0,4,24.0,ST004926,1748000.0
202112,20211220,79,16,CD001947,2116000,1,0,10000000,09,1,03,"최근 거래 패턴에 비해 결제 금액이 급격히 증가하였고, 신규 가맹점에서 이루어진 거래로, 카드 위변조 이상거래 의심
최근 사용한 금액이 100만원 이상 증가한 고객이 신규 가맹점에서 국내 할부로 결제",6,2,01,C,9204,3,2,0,0,33,30,00,03,B,34.0,1,18.0,ST000144,9884000.0
202111,20211116,36,11,CD000666,19000,1,0,5000000,14,0,,,4,2,10,C,5206,2,2,0,0,32,30,00,03,A,44.0,1,24.0,ST000778,1562000.0
202112,20211208,43,18,CD000193,8000,1,0,10000000,09,0,,,5,1,00,C,5101,2,_,0,0,32,30,00,04,A,1321.0,2,24.0,ST000375,11124000.0
202112,20211206,8,11,CD000691,4000,1,0,10000000,09,0,,,5,1,00,C,5503,3,_,0,0,33,30,00,03,A,1272.0,1,24.0,ST000402,27812259000.0
202112,20211212,18,12,CD000221,10000,1,0,1000000,09,0,,,2,2,00,C,6306,2,2,0,0,35,30,00,03,A,8264.0,1,24.0,ST001000,529885000.0
202110,20211008,84,13,CD000954,8000,1,0,10000000,09,0,,,6,1,00,C,1107,2,1,0,0,32,30,00,05,A,56.0,1,24.0,ST000221,1954000.0
