기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202302,20230222,28,13,CD000481,126000,1,0,10000000,04,0,,,3,1,00,C,6602,1,2,0,0,33,30,00,05,A,40.0,1,24.0,ST007601,1532000.0
202303,20230302,2,17,CD000379,4000,1,0,5000000,09,0,,,2,2,10,C,5202,2,2,0,0,33,30,00,03,A,323.0,1,24.0,ST000430,1492000.0
202301,20230123,26,11,CD000131,8000,1,0,10000000,02,0,,,4,1,00,Q,9606,2,2,0,0,38,2,_,03,A,6649.0,1,0.0,ST002013,354599000.0
202303,20230317,49,20,CD001945,8000,1,0,10000000,02,0,,,4,2,00,C,5507,2,2,0,0,32,30,00,03,A,8580.0,1,24.0,ST000579,1843000.0
202301,20230117,47,17,CD000449,8000,2,0,0,09,0,,,9,_,00,Q,5501,2,2,0,0,32,2,_,03,A,20.0,4,0.0,ST000028,357000.0
202303,20230302,2,19,CD000539,4000,1,0,0,02,0,,,4,1,10,C,8310,2,1,0,0,32,30,00,02,A,42.0,1,24.0,ST000820,542000.0
202301,20230120,20,12,CD000638,9000,1,0,1000000,06,0,,,4,1,00,C,5101,2,_,0,0,32,30,00,02,A,48.0,1,24.0,ST000653,1069000.0
202302,20230219,65,18,CD000944,8000,1,0,10000000,02,0,,,5,1,00,C,5202,2,1,0,0,32,30,00,01,A,44.0,1,24.0,ST000011,1487000.0
202302,20230225,43,15,CD002045,9000,1,0,10000000,09,0,,,5,1,00,C,6102,1,1,0,0,32,30,00,04,A,1394.0,1,24.0,ST002034,10996000.0
202303,20230325,33,15,CD002144,9000,1,0,0,07,0,,,4,2,10,C,4215,1,1,0,0,32,30,00,02,A,335.0,1,24.0,ST001019,1666000.0
202303,20230313,22,11,CD001738,4000,1,0,10000000,10,0,,,2,2,00,C,6601,2,1,0,0,30,30,00,02,A,49.0,1,24.0,ST000127,1255000.0
202303,20230322,27,20,CD001088,8000,1,1,5000000,,0,,,3,2,00,C,7523,0,,,,32,30,00,02,A,7519.0,1,24.0,ST008565,1927000.0
202301,20230113,23,16,CD001038,8000,1,0,5000000,09,0,,,6,2,00,C,5201,1,1,0,0,32,30,00,05,A,383.0,1,24.0,ST000098,2333000.0
202303,20230331,54,18,CD001996,4000,1,0,0,02,0,,,3,1,10,C,2502,2,1,0,0,32,30,00,02,A,397.0,1,24.0,ST000130,1958000.0
202302,20230225,20,11,CD001027,1392000,1,0,5000000,09,1,03,"최근 거래 패턴에 비해 결제 금액이 급격히 증가하였고, 신규 가맹점에서 이루어진 거래로, 카드 위변조 이상거래 의심
최근 사용한 금액이 100만원 이상 증가한 고객이 신규 가맹점에서 국내 일시불로 결제",2,2,00,C,9205,3,2,0,0,35,30,05,03,A,6819.0,1,24.0,ST000712,387900000.0
202303,20230328,63,21,CD000847,4000,2,0,0,12,0,,,9,_,00,C,5202,2,1,0,0,32,30,00,03,A,4.0,4,24.0,ST000032,456000.0
202301,20230107,18,17,CD000424,4000,1,0,0,14,0,,,5,2,00,C,2105,0,1,0,0,32,30,00,03,A,1306.0,1,24.0,ST011487,497907000.0
202302,20230201,1,15,CD002189,9000,1,0,0,03,0,,,4,1,00,C,5102,2,_,0,0,32,30,00,01,A,38.0,1,24.0,ST000907,1268000.0
