기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202311,20231114,20,16,CD000462,8000,1,0,10000000,07,0,,,3,1,10,C,6303,3,2,0,0,32,30,00,03,A,49.0,1,24.0,ST001182,1695000.0
202310,20231026,21,16,CD000492,8000,1,0,5000000,14,0,,,1,1,00,C,6306,2,2,0,0,32,30,00,02,A,48.0,1,24.0,ST000023,1270000.0
202310,20231007,5,22,CD000486,8000,1,0,1000000,12,0,,,3,1,00,C,2502,1,1,0,0,32,30,00,02,A,35.0,1,24.0,ST000746,932000.0
202311,20231126,18,13,CD000444,98000,2,0,0,02,0,,,9,_,00,C,6601,2,1,0,0,32,30,00,03,A,68.0,4,24.0,ST000051,1931000.0
202310,20231021,5,11,CD000955,111000,1,0,10000000,02,0,,,3,1,00,C,2307,1,_,0,0,33,30,00,02,A,385.0,1,24.0,ST000849,59836000.0
202310,20231009,13,17,CD001310,4000,1,0,10000000,06,0,,,3,1,00,C,5101,2,2,0,0,32,30,00,03,A,1348.0,1,24.0,ST000486,2176000.0
202310,20231006,26,21,CD000063,9000,1,0,10000000,01,0,,,2,1,00,C,2501,2,1,0,0,33,30,00,03,A,39.0,1,24.0,ST002360,1041000.0
202312,20231203,2,11,CD000123,19000,1,0,10000000,02,0,,,4,1,00,C,5501,2,2,0,0,33,30,05,02,A,150298.0,1,24.0,ST000243,3940473000.0
202312,20231229,17,15,CD001857,4000,1,0,1000000,11,0,,,2,1,00,C,5202,2,1,0,0,32,30,_,02,A,71.0,1,0.0,ST000041,1697000.0
202310,20231021,24,12,CD000710,9000,1,0,1000000,02,0,,,3,2,00,C,5102,2,_,0,0,31,30,00,05,A,7678.0,1,24.0,ST000488,465209000.0
202310,20231010,2,12,CD001537,1556000,1,0,10000000,,0,,,5,2,00,C,_,3,,,,31,30,00,02,A,,1,24.0,ST001113,
202310,20231009,7,21,CD000608,4000,1,1,1000000,,0,,,5,1,00,C,5261,0,,,,33,30,00,06,A,39.0,1,24.0,ST011786,1574000.0
202311,20231101,2,20,CD001056,19000,1,0,5000000,03,0,,,3,1,00,C,5202,2,1,0,0,33,30,00,03,A,61.0,1,24.0,ST000045,1722000.0
202310,20231023,12,17,CD000424,1000,1,0,1000000,13,0,,,5,2,10,C,5202,1,_,0,0,32,30,00,03,A,1240.0,1,24.0,ST001806,52412000.0
202310,20231027,17,14,CD001436,9000,1,0,0,05,0,,,4,2,10,C,2303,2,1,0,0,32,30,00,05,A,351.0,1,24.0,ST002105,1863000.0
202312,20231203,3,20,CD001031,55000,1,0,10000000,05,0,,,5,1,00,C,5203,2,1,0,0,32,30,00,03,A,60.0,1,24.0,ST011016,447575000.0
202310,20231003,1,17,CD001014,1524000,1,0,10000000,02,1,03,"최근 거래 패턴에 비해 결제 금액이 급격히 증가하였고, 신규 가맹점에서 이루어진 거래로, 카드 위변조 이상거래 의심
최근 사용한 금액이 100만원 이상 증가한 고객이 신규 가맹점에서 국내 일시불로 결제",6,1,00,C,6602,2,1,0,0,31,30,00,02,A,37.0,1,24.0,ST000981,1012000.0
202310,20231015,19,17,CD000605,4000,1,0,0,06,0,,,2,2,10,C,2502,2,1,0,0,32,30,00,03,A,58.0,1,24.0,ST001153,1842000.0
202311,20231101,4,21,CD000280,47000,1,0,5000000,09,0,,,3,2,00,C,5507,2,_,0,0,32,30,00,02,A,1426600.0,1,24.0,ST000223,3179554000.0
202311,20231104,10,15,CD000802,103000,1,0,0,11,0,,,2,1,00,Q,4402,2,1,0,0,32,30,_,03,A,39.0,1,0.0,ST000099,1264000.0
202312,20231220,32,11,CD000566,9000,1,0,0,11,0,,,3,2,10,C,5102,2,2,0,0,35,30,00,02,A,334.0,1,24.0,ST000012,1731000.0
202310,20231015,34,15,CD000345,9000,1,0,10000000,06,0,,,3,2,00,C,6101,1,_,0,0,31,30,05,02,A,49.0,1,24.0,ST007078,3376028000.0
202312,20231229,8,11,CD001414,105000,1,0,10000000,14,0,,,3,2,00,C,6306,2,2,0,0,33,30,00,03,A,1322.0,1,24.0,ST000023,514715000.0
202312,20231216,68,22,CD001201,8000,1,0,1000000,11,0,,,2,1,10,C,5202,2,1,0,0,30,30,00,03,A,404.0,1,24.0,ST000041,2281000.0
202311,20231115,1,15,CD001679,1538000,1,0,1000000,07,0,,,5,2,00,C,9511,1,2,0,0,35,30,00,02,A,37855.0,1,24.0,ST006244,373446000.0
202312,20231217,8,18,CD002314,8000,1,0,10000000,02,0,,,6,1,00,C,5102,2,2,0,0,32,30,00,03,A,60.0,1,24.0,ST000077,1629000.0
