기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202203,20220329,120,18,CD001009,9000,1,0,1000000,10,0,,,4,2,00,C,5201,1,1,0,0,32,30,00,03,A,363.0,1,24.0,ST000714,1805000.0
202202,20220219,27,20,CD000547,19000,2,0,0,02,0,,,9,_,00,C,6602,2,2,0,0,30,30,00,02,A,70.0,4,24.0,ST000339,1987000.0
202202,20220210,31,13,CD000733,9000,1,0,0,09,0,,,2,2,00,C,8203,2,_,0,0,31,30,00,03,A,70.0,1,24.0,ST001906,1702000.0
202203,20220318,11,13,CD000459,8000,1,0,5000000,03,0,,,5,2,00,C,2307,1,_,0,0,32,30,00,05,A,59.0,1,24.0,ST000514,1705000.0
202203,20220312,39,15,CD001859,4000,1,0,0,09,0,,,3,1,10,C,5202,1,2,0,0,32,30,00,02,A,353.0,1,24.0,ST000705,2018000.0
202203,20220319,23,17,CD001820,104000,1,0,5000000,02,0,,,5,2,00,C,6601,2,1,0,0,35,30,00,02,A,1124.0,1,24.0,ST000051,44765000.0
202203,20220329,44,18,CD000370,8000,1,0,10000000,08,0,,,2,1,00,C,5201,2,1,0,0,32,30,00,01,A,1276.0,1,24.0,ST000060,1535000.0
202201,20220114,60,20,CD000708,9000,1,0,10000000,02,0,,,4,1,00,Q,5503,2,2,0,0,32,2,_,03,A,45768.0,1,0.0,ST000134,3340928000.0
202202,20220213,20,11,CD000192,4000,2,0,0,08,0,,,9,_,00,C,2303,2,1,0,0,29,30,00,02,A,40.0,4,24.0,ST000678,1159000.0
202201,20220119,61,09,CD000061,9000,2,0,0,07,0,,,9,_,10,C,6303,3,2,0,0,31,30,00,03,A,286240.0,4,24.0,ST001182,9714893000.0
