기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202210,20221020,122,15,CD000025,9000,1,0,10000000,12,0,,,2,1,00,C,5202,1,1,0,0,32,30,00,03,A,40.0,1,24.0,ST000033,737000.0
202210,20221013,26,13,CD000807,9000,1,0,10000000,11,0,,,3,2,00,C,4104,2,2,0,0,31,30,00,03,A,6435.0,1,24.0,ST012440,404534000.0
202212,20221207,2,18,CD000971,57000,1,0,1000000,12,0,,,4,1,00,C,5202,1,2,0,0,34,30,00,04,A,23.0,1,24.0,ST003511,1095000.0
202211,20221110,6,20,CD000683,4000,1,0,5000000,14,0,,,4,1,00,C,6306,2,2,0,0,33,30,00,02,A,361.0,1,24.0,ST000023,2069000.0
202210,20221029,54,18,CD000023,8000,1,0,10000000,06,0,,,3,1,00,C,5101,2,_,0,0,32,30,00,01,A,334.0,1,24.0,ST000653,1701000.0
202211,20221128,26,21,CD001926,9000,1,0,10000000,08,0,,,4,1,10,C,6502,2,1,0,0,33,30,00,01,A,256.0,1,24.0,ST001607,1241000.0
202210,20221028,44,20,CD001882,8000,1,0,0,14,0,,,4,2,00,C,5201,2,1,0,0,31,30,00,03,A,58.0,1,24.0,ST000124,1233000.0
202212,20221221,53,20,CD000647,8000,1,0,1000000,16,0,,,4,1,00,C,1301,1,1,0,0,33,30,00,02,A,305.0,1,24.0,ST001858,1411000.0
202211,20221101,2,17,CD000032,8000,1,0,5000000,09,0,,,4,1,00,C,5201,2,1,0,0,32,30,00,02,A,38.0,1,24.0,ST000026,1356000.0
202210,20221017,30,08,CD001948,9000,1,0,0,02,0,,,5,1,00,C,6601,2,1,0,0,32,30,00,03,A,54.0,1,24.0,ST000051,1740000.0
202210,20221007,18,22,CD000147,4000,1,0,10000000,10,0,,,2,1,00,C,5202,2,1,0,0,32,30,00,03,A,49.0,1,24.0,ST000289,1739000.0
202211,20221114,42,12,CD000405,50000,1,0,1000000,14,0,,,3,2,00,C,5204,2,2,0,0,32,30,00,02,A,1490999.0,1,24.0,ST000854,353575000.0
202210,20221031,28,18,CD001048,8000,1,0,5000000,03,0,,,6,1,00,C,2301,2,1,0,0,34,30,00,05,A,318.0,1,24.0,ST000070,1180000.0
202210,20221003,5,10,CD001235,104000,2,0,0,09,0,,,9,_,00,C,9205,3,2,0,0,33,30,00,03,A,39184.0,5,24.0,ST000712,397383000.0
202212,20221220,51,12,CD001058,10000,1,0,1000000,06,0,,,5,2,00,C,5202,1,1,0,0,32,30,00,01,A,72.0,1,24.0,ST000215,1566000.0
202210,20221014,26,17,CD001910,9000,1,0,10000000,11,0,,,3,1,00,C,4402,2,1,0,0,31,30,00,03,A,321.0,1,24.0,ST000099,1826000.0
202210,20221015,43,09,CD001374,1235000,1,0,10000000,09,1,03,"최근 거래 패턴에 비해 결제 금액이 급격히 증가하였고, 신규 가맹점에서 이루어진 거래로, 카드 위변조 이상거래 의심
최근 사용한 금액이 100만원 이상 증가한 고객이 신규 가맹점에서 국내 할부로 결제",5,1,01,C,5503,3,2,0,1,31,30,05,02,B,26730.0,1,30.0,ST000274,332566000.0
